"GMI_CNTRY","POPIO_NAME","POINT_X","POINT_Y","CONTINENT","POPIO_NAME_ES"
"AFG","Afghanistan",66.008447,33.836267,"Asia","Afganist‡n"
"ALB","Albania",20.053989,41.142582,"Europe","Albania"
"DZA","Algeria",2.617789,28.158463,"Africa","Algeria"
"AGO","Angola",17.536458,-12.29118,"Africa","Angola"
"ATG","Antigua and Barbuda",-61.790997,17.284294,"North America","Antigua y Barbuda"
"EGY","Arab Rep of Egypt",29.861284,26.492376,"Africa","Egipto"
"ARG","Argentina",-65.178218,-35.382696,"South America","Argentina"
"ARM","Armenia",44.932301,40.288134,"Asia","Armenia"
"ABW","Aruba",-69.9756401428,12.515625723,"North America","Aruba"
"AUS","Australia",134.492572,-25.732365,"Oceania","Australia"
"AUT","Austria",14.130673,47.585657,"Europe","Austria"
"AZE","Azerbaijan",47.542394,40.289044,"Asia","Azerbaiy‡n"
"BHR","Bahrain",50.544356,26.048945,"Asia","Bahrain"
"BGD","Bangladesh",90.24339,23.842846,"Asia","Bangladesh"
"BRB","Barbados",-59.560479,13.180864,"North America","Barbados"
"BLR","Belarus",28.033566,53.53188,"Europe","Bielorrusia"
"BEL","Belgium",4.640121,50.637406,"Europe","BŽlgica"
"BLZ","Belize",-88.704835,17.200815,"North America","Belice"
"BEN","Benin",2.328738,9.641208,"Africa","Ben’n"
"BTN","Bhutan",90.403948,27.410593,"Asia","But‡n"
"BOL","Bolivia",-64.684754,-16.706877,"South America","Bolivia"
"BIH","Bosnia and Herzegovina",17.773405,44.171739,"Europe","Bosnia-Herzegovina"
"BWA","Botswana",23.798987,-22.185772,"Africa","Botswana"
"BRA","Brazil",-53.093972,-10.782781,"South America","Brasil"
"BRN","Brunei Darussalam",114.727354,4.516338,"Asia","Brunei Darussalam"
"BGR","Bulgaria",25.217739,42.76854,"Asia","Bulgaria"
"BFA","Burkina Faso",-1.755591,12.26956,"Africa","Burkina Faso"
"BDI","Burundi",29.875083,-3.357425,"Africa","Burundi"
"CPV","Cabo Verde",-23.966613,15.935902,"Africa","Cabo Verde"
"KHM","Cambodia",104.90282,12.715572,"Asia","Camboya"
"CMR","Cameroon",12.737083,5.693128,"Africa","Camerœn"
"CAN","Canada",-98.316063,61.373126,"North America","Canad‡"
"CAF","Central African Republic",20.464809,6.566321,"Africa","Repœblica Centroafricana"
"TCD","Chad",18.646251,15.333078,"Africa","Chad"
"CHI","Channel Islands",NA,NA,"Europe","Channel Islands"
"CHL","Chile",-71.355119,-37.696072,"South America","Chile"
"CHN","China",103.82491,36.561277,"Asia","China"
"COL","Colombia",-73.080187,3.910956,"North America","Colombia"
"COM","Comoros",43.680788,-11.884401,"Africa","Comores"
"COG","Congo",15.2242939996,-0.84023182658,"Africa","Congo"
"CRI","Costa Rica",-84.193238,9.973605,"North America","Costa Rica"
"CIV","Cote-d-Ivoire",-5.569011,7.627839,"Africa","Costa de Marfil"
"HRV","Croatia",16.398662,45.06776,"Europe","Croacia"
"CUB","Cuba",-79.033303,21.624692,"North America","Cuba"
"CUW","Curacao",NA,NA,"North America","Curacao"
"CYP","Cyprus",32.990228,34.914998,"Asia","Chipre"
"CZE","Czech Republic",15.314103,49.732448,"Europe","Repœblica Checa"
"PRK","Dem Peoples Rep of Korea",127.18767,40.170376,"Asia","Corea del Norte"
"ZAR","Dem Rep of Congo",23.6550057054,-2.87623474498,"Africa","Rep Dem del Congo"
"DNK","Denmark",10.05067,55.964717,"Europe","Dinamarca"
"DJI","Djibouti",42.56667,11.750209,"Africa","Djibouti"
"DOM","Dominican Republic",-70.496272,18.896204,"North America","Repœblica Dominicana"
"ECU","Ecuador",-78.77323,-1.424747,"South America","Ecuador"
"SLV","El Salvador",-88.869261,13.736704,"North America","El Salvador"
"GNQ","Equatorial Guinea",10.333171,1.706945,"Africa","Guinea Ecuatorial"
"ERI","Eritrea",38.853178,15.357538,"Africa","Eritrea"
"EST","Estonia",25.535957,58.670837,"Europe","Estonia"
"ETH","Ethiopia",39.600551,8.622952,"Africa","Etiop’a"
"FSM","Federated States of Micronesia",155.247759,7.115377,"Oceania","Micronesia"
"FJI","Fiji",163.698141,-17.446659,"Oceania","Fiji"
"FIN","Finland",20.037148,60.207334,"Europe","Finlandia"
"FRA","France",68.991182,-49.062703,"Europe","Francia"
"GUF","French Guiana",-53.2412236314,3.92468841889,"South America","Guayana Francesa"
"PYF","French Polynesia",-149.417679134,-17.6664919203,"Oceania","Polinesia Francesa"
"MKD","FYR Macedonia",21.6974763152,41.5996829206,"Europe","Macedonia"
"GAB","Gabon",11.792239,-0.587011,"Africa","Gab—n"
"GEO","Georgia",43.507651,42.168816,"Asia","Georgia"
"DEU","Germany",10.381548,51.106213,"Europe","Alemania"
"GHA","Ghana",-1.216466,7.953797,"Africa","Ghana"
"GRC","Greece",22.97514,39.05122,"Asia","Grecia"
"GRD","Grenada",-61.655942,12.1129266563,"North America","Grenada"
"GLP","Guadeloupe",-61.648470341,16.1414757987,"North America","Guadalupe"
"GUM","Guam",144.713942955,13.3558122599,"Oceania","Guam"
"GTM","Guatemala",-90.365058,15.693396,"North America","Guatemala"
"GIN","Guinea",-10.942917,10.434669,"Africa","Guinea"
"GNB","Guinea-Bissau",-14.412361314,12.1241940674,"Africa","Guinea-Bissau"
"GUY","Guyana",-58.979905,4.795142,"South America","Guyana"
"HTI","Haiti",-72.690703,18.93814,"North America","Hait’"
"HND","Honduras",-86.618416,14.824166,"North America","Honduras"
"HKG","Hong Kong SAR-China",NA,NA,"Asia","Hong Kong SAR-China"
"HUN","Hungary",19.396759,47.163244,"Europe","Hungr’a"
"ISL","Iceland",-18.595807,64.998012,"Europe","Islandia"
"IND","India",79.612214,22.887366,"Asia","India"
"IDN","Indonesia",117.272105,-2.220831,"Asia","Indonesia"
"IRQ","Iraq",43.744986,33.039797,"Asia","Iraq"
"IRL","Ireland",-8.144426,53.177874,"Europe","Irelanda"
"IRN","Islamic Republic of Iran",54.276286,32.572027,"Asia","Ir‡n"
"ISR","Israel",34.9961,31.443548,"Africa","Israel"
"ITA","Italy",12.072137,42.786249,"Europe","Italia"
"JAM","Jamaica",-77.318535,18.154594,"North America","Jamaica"
"JPN","Japan",137.992535,37.555901,"Asia","Jap—n"
"JOR","Jordan",36.770946,31.245598,"Asia","Jordania"
"KAZ","Kazakhstan",63.384062,45.978305,"Asia","Kazajst‡n"
"KEN","Kenya",37.796226,0.598081,"Africa","Kenia"
"KIR","Kiribati",-55.32007,0.79981,"Oceania","Kiribati"
"KWT","Kuwait",47.59058,29.338788,"Asia","Kuwait"
"KGZ","Kyrgyz Republic",74.541669,41.461919,"Asia","Kyrgyz Republic"
"LAO","Lao PDR",103.737873,18.502298,"Asia","Laos"
"LVA","Latvia",24.909128,56.851761,"Europe","Latvia"
"LBN","Lebanon",35.880272,33.920398,"Asia","L’bano"
"LSO","Lesotho",28.228623,-29.57973,"Africa","Lesotho"
"LBR","Liberia",-9.319781,6.452318,"Africa","Liberia"
"LBY","Libya",18.009583,27.030206,"Africa","Libia"
"LTU","Lithuania",23.888369,55.327008,"Europe","Lituania"
"LUX","Luxembourg",6.071764,49.766824,"Europe","Luxamburgo"
"MAC","Macao SAR China",NA,NA,"Asia","Macao SAR China"
"MDG","Madagascar",46.706458,-19.373254,"Africa","Madagascar"
"MWI","Malawi",34.289908,-13.217226,"Africa","Malawi"
"MYS","Malaysia",109.697702,3.792397,"Asia","Malasia"
"MDV","Maldives",73.331084,3.67978,"Asia","Maldivas"
"MLI","Mali",-3.539079,17.344163,"Africa","Mal’"
"MLT","Malta",14.404245,35.920801,"Europe","Malta"
"MTQ","Martinique",-61.0212878211,14.6525473278,"North America","Martinica"
"MRT","Mauritania",-10.342917,20.256307,"Africa","Mauritania"
"MUS","Mauritius",57.854617,-20.221512,"Africa","Mauricio"
"MYT","Mayotte",45.1351607431,-12.8197953643,"Africa","Mayotte"
"MEX","Mexico",-102.52704,23.947546,"North America","MŽxico"
"MDA","Moldova",28.461397,47.195101,"Europe","Moldavia"
"MNG","Mongolia",103.056287,46.825806,"Asia","Mongolia"
"MNE","Montenegro",19.238501,42.785856,"Europe","Montenegro"
"MAR","Morocco",-8.455533,29.834245,"Africa","Marruecos"
"MOZ","Mozambique",35.537526,-17.270376,"Africa","Mozambique"
"MMR","Myanmar",96.489186,21.169415,"Asia","Myanmar"
"NAM","Namibia",17.210796,-22.128669,"Africa","Namibia"
"NPL","Nepal",83.916253,28.247922,"Asia","Nepal"
"NCL","New Caledonia",165.505395242,-21.4052049142,"Oceania","Nueva Caledonia"
"NZL","New Zealand",-158.781437,-19.818704,"Oceania","Nueva Zelanda"
"NIC","Nicaragua",-85.032836,12.845628,"North America","Nicaragua"
"NER","Niger",9.386034,17.418464,"Africa","Niger"
"NGA","Nigeria",8.091504,9.596968,"Africa","Nigeria"
"NOR","Norway",15.41245,68.7964,"Antarctica","Noruega"
"NOR","Norway",15.41245,68.7964,"Antarctica","Noruega"
"NOR","Norway",15.41245,68.7964,"Antarctica","Noruega"
"NOR","Norway",15.41245,68.7964,"Antarctica","Noruega"
"OMN","Oman",56.092799,20.600908,"Asia","Om‡n"
"PAK","Pakistan",69.341852,29.94883,"Asia","Pakist‡n"
"PAN","Panama",-80.123917,8.51045,"North America","Panam‡"
"PNG","Papua New Guinea",145.22793,-6.470358,"Asia","Papœa Nueva Guinea"
"PRY","Paraguay",-58.398423,-23.227519,"South America","Paraguay"
"PER","Peru",-74.381307,-9.15354,"South America","Perœ"
"PHL","Philippines",122.874714,11.763383,"Asia","Filipinas"
"POL","Poland",19.394451,52.124672,"Europe","Polonia"
"PRT","Portugal",-8.59209,39.58568,"Africa","Portugal"
"PRI","Puerto Rico",-66.480993445,18.2231072003,"North America","Puerto Rico"
